date,users,average_user,in_game
2004-01-13,84998.0,20365090.0,3948383.0
2004-01-14,84998.0,20365090.0,3948383.0
2004-01-15,84998.0,20365090.0,3948383.0
2004-01-16,84998.0,20365090.0,3948383.0
2004-01-17,84998.0,20365090.0,3948383.0
2004-01-18,84998.0,20365090.0,3948383.0
2004-01-19,84998.0,20365090.0,3948383.0
2004-01-20,84998.0,20365090.0,3948383.0
2004-01-21,84998.0,20365090.0,3948383.0
2004-01-22,84998.0,20365090.0,3948383.0
2004-01-23,84998.0,20365090.0,3948383.0
2004-01-24,84998.0,20365090.0,3948383.0
2004-01-25,84998.0,20365090.0,3948383.0
2004-01-26,84998.0,20365090.0,3948383.0
2004-01-27,84998.0,20365090.0,3948383.0
2004-01-28,84998.0,20365090.0,3948383.0
2004-01-29,84998.0,20365090.0,3948383.0
2004-01-30,84998.0,20365090.0,3948383.0
2004-01-31,84998.0,20365090.0,3948383.0
2004-02-01,84998.0,20365090.0,3948383.0
2004-02-02,84998.0,20365090.0,3948383.0
2004-02-03,84998.0,20365090.0,3948383.0
2004-02-04,84998.0,20365090.0,3948383.0
2004-02-05,84998.0,20365090.0,3948383.0
2004-02-06,84998.0,20365090.0,3948383.0
2004-02-07,84998.0,20365090.0,3948383.0
2004-02-08,84998.0,20365090.0,3948383.0
2004-02-09,84998.0,20365090.0,3948383.0
2004-02-10,84998.0,20365090.0,3948383.0
2004-02-11,84998.0,20365090.0,3948383.0
2004-02-12,84998.0,20365090.0,3948383.0
2004-02-13,84998.0,20365090.0,3948383.0
2004-02-14,84998.0,20365090.0,3948383.0
2004-02-15,84998.0,20365090.0,3948383.0
2004-02-16,84998.0,20365090.0,3948383.0
2004-02-17,84998.0,20365090.0,3948383.0
2004-02-18,84998.0,20365090.0,3948383.0
2004-02-19,84998.0,20365090.0,3948383.0
2004-02-20,84998.0,20365090.0,3948383.0
2004-02-21,84998.0,20365090.0,3948383.0
2004-02-22,84998.0,20365090.0,3948383.0
2004-02-23,84998.0,20365090.0,3948383.0
2004-02-24,84998.0,20365090.0,3948383.0
2004-02-25,84998.0,20365090.0,3948383.0
2004-02-26,84998.0,20365090.0,3948383.0
2004-02-27,84998.0,20365090.0,3948383.0
2004-02-28,84998.0,20365090.0,3948383.0
2004-02-29,84998.0,20365090.0,3948383.0
2004-03-01,84998.0,20365090.0,3948383.0
2004-03-02,84998.0,20365090.0,3948383.0
2004-03-03,84998.0,20365090.0,3948383.0
2004-03-04,84998.0,20365090.0,3948383.0
2004-03-05,84998.0,20365090.0,3948383.0
2004-03-06,84998.0,20365090.0,3948383.0
2004-03-07,84998.0,20365090.0,3948383.0
2004-03-08,84998.0,20365090.0,3948383.0
2004-03-09,84998.0,20365090.0,3948383.0
2004-03-10,84998.0,20365090.0,3948383.0
2004-03-11,84998.0,20365090.0,3948383.0
2004-03-12,84998.0,20365090.0,3948383.0
2004-03-13,84998.0,20365090.0,3948383.0
2004-03-14,84998.0,20365090.0,3948383.0
2004-03-15,84998.0,20365090.0,3948383.0
2004-03-16,84998.0,20365090.0,3948383.0
2004-03-17,84998.0,20365090.0,3948383.0
2004-03-18,84998.0,20365090.0,3948383.0
2004-03-19,84998.0,20365090.0,3948383.0
2004-03-20,84998.0,20365090.0,3948383.0
2004-03-21,84998.0,20365090.0,3948383.0
2004-03-22,84998.0,20365090.0,3948383.0
2004-03-23,84998.0,20365090.0,3948383.0
2004-03-24,84998.0,20365090.0,3948383.0
2004-03-25,84998.0,20365090.0,3948383.0
2004-03-26,84998.0,20365090.0,3948383.0
2004-03-27,84998.0,20365090.0,3948383.0
2004-03-28,84998.0,20365090.0,3948383.0
2004-03-29,84998.0,20365090.0,3948383.0
2004-03-30,84998.0,20365090.0,3948383.0
2004-03-31,84998.0,20365090.0,3948383.0
2004-04-01,84998.0,20365090.0,3948383.0
2004-04-02,84998.0,20365090.0,3948383.0
2004-04-03,93635.0,20365090.0,3948383.0
2004-04-04,93635.0,20365090.0,3948383.0
2004-04-05,93635.0,20365090.0,3948383.0
2004-04-06,93635.0,20365090.0,3948383.0
2004-04-07,93635.0,20365090.0,3948383.0
2004-04-08,93635.0,20365090.0,3948383.0
2004-04-09,93635.0,20365090.0,3948383.0
2004-04-10,93635.0,20365090.0,3948383.0
2004-04-11,93635.0,20365090.0,3948383.0
2004-04-12,97480.0,20365090.0,3948383.0
2004-04-13,97480.0,20365090.0,3948383.0
2004-04-14,97480.0,20365090.0,3948383.0
2004-04-15,97480.0,20365090.0,3948383.0
2004-04-16,97480.0,20365090.0,3948383.0
2004-04-17,97480.0,20365090.0,3948383.0
2004-04-18,97480.0,20365090.0,3948383.0
2004-04-19,97480.0,20365090.0,3948383.0
2004-04-20,97480.0,20365090.0,3948383.0
2004-04-21,97480.0,20365090.0,3948383.0
2004-04-22,97480.0,20365090.0,3948383.0
2004-04-23,97480.0,20365090.0,3948383.0
2004-04-24,97480.0,20365090.0,3948383.0
2004-04-25,97480.0,20365090.0,3948383.0
2004-04-26,97480.0,20365090.0,3948383.0
2004-04-27,97480.0,20365090.0,3948383.0
2004-04-28,97480.0,20365090.0,3948383.0
2004-04-29,97480.0,20365090.0,3948383.0
2004-04-30,97480.0,20365090.0,3948383.0
2004-05-01,97480.0,20365090.0,3948383.0
2004-05-02,97480.0,20365090.0,3948383.0
2004-05-03,97480.0,20365090.0,3948383.0
2004-05-04,97480.0,20365090.0,3948383.0
2004-05-05,97480.0,20365090.0,3948383.0
2004-05-06,97480.0,20365090.0,3948383.0
2004-05-07,97480.0,20365090.0,3948383.0
2004-05-08,97480.0,20365090.0,3948383.0
2004-05-09,97480.0,20365090.0,3948383.0
2004-05-10,97480.0,20365090.0,3948383.0
2004-05-11,97480.0,20365090.0,3948383.0
2004-05-12,97480.0,20365090.0,3948383.0
2004-05-13,97480.0,20365090.0,3948383.0
2004-05-14,97480.0,20365090.0,3948383.0
2004-05-15,97480.0,20365090.0,3948383.0
2004-05-16,97480.0,20365090.0,3948383.0
2004-05-17,97480.0,20365090.0,3948383.0
2004-05-18,97480.0,20365090.0,3948383.0
2004-05-19,97480.0,20365090.0,3948383.0
2004-05-20,97480.0,20365090.0,3948383.0
2004-05-21,97480.0,20365090.0,3948383.0
2004-05-22,97480.0,20365090.0,3948383.0
2004-05-23,97480.0,20365090.0,3948383.0
2004-05-24,97480.0,20365090.0,3948383.0
2004-05-25,97480.0,20365090.0,3948383.0
2004-05-26,97480.0,20365090.0,3948383.0
2004-05-27,97480.0,20365090.0,3948383.0
2004-05-28,97480.0,20365090.0,3948383.0
2004-05-29,97480.0,20365090.0,3948383.0
2004-05-30,97480.0,20365090.0,3948383.0
2004-05-31,97480.0,20365090.0,3948383.0
2004-06-01,97480.0,20365090.0,3948383.0
2004-06-02,97480.0,20365090.0,3948383.0
2004-06-03,97480.0,20365090.0,3948383.0
2004-06-04,97480.0,20365090.0,3948383.0
2004-06-05,97480.0,20365090.0,3948383.0
2004-06-06,97480.0,20365090.0,3948383.0
2004-06-07,117802.0,20365090.0,3948383.0
2004-06-08,117802.0,20365090.0,3948383.0
2004-06-09,117802.0,20365090.0,3948383.0
2004-06-10,117802.0,20365090.0,3948383.0
2004-06-11,117802.0,20365090.0,3948383.0
