name,owners,price,score,positive,negative,recommendations,playtime,genres
ELEX II,150000,49.99,0,2650,827,2038,3000,"Action,Adventure,RPG"
Tetra Project - 原石计划,75000,9.99,0,525,26,510,29,"Indie,Strategy,Early Access"
Persona 5 Tactica,35000,59.99,0,879,163,744,382,"RPG,Strategy"
Ghostbusters: Spirits Unleashed Ecto Edition,35000,19.99,0,482,60,502,0,"Action,Adventure"
DAEMON X MACHINA,150000,49.99,0,4894,609,5127,605,Action
Hello Charlotte EP2: Requiem Aeternam Deo,75000,0.0,0,819,20,716,440,"Adventure,Indie,RPG"
Ninja Stealth 3,150000,0.49,0,226,58,252,195,"Casual,Indie,Strategy"
Mail Mole + 'Xpress Deliveries,10000,14.99,0,146,5,121,0,"Action,Adventure,Casual,Indie"
Train Sim World® 2020,350000,39.99,0,5383,1556,5865,1758,Simulation
The Chaos Engine,150000,9.99,0,245,130,226,191,Action
Wanted Raccoon,10000,19.99,0,288,56,271,0,"Action,Adventure,Casual,Indie,RPG,Simulation,Early Access"
Late Shift,350000,4.93,0,6513,1001,6315,174,"Adventure,Indie"
Total War: WARHAMMER III,3500000,59.99,0,25545,18410,32739,1371,"Action,Strategy"
Montaro RE,35000,0.99,0,1067,40,987,68,"Casual,Indie"
Metal Wolf Chaos XD,75000,24.99,0,476,93,505,34,Action
Metropolis: Lux Obscura,10000,7.99,0,327,86,365,114,"Casual,Indie"
FINAL FANTASY® XI: Ultimate Collection Seekers Edition,10000,29.99,0,205,27,216,4,Massively Multiplayer
Cursed to Golf,150000,17.99,0,111,20,110,36,"Action,Adventure,Indie,Sports"
FIGHT KNIGHT,35000,19.99,0,638,38,587,788,"Action,Adventure,Indie,RPG"
One More Island,10000,19.99,0,118,33,132,89,Simulation
Sable's Grimoire,10000,14.99,0,113,5,110,0,"Casual,Indie,Simulation"
Fire: Ungh’s Quest,75000,0.99,0,465,78,370,199,"Adventure,Casual,Indie"
Puzzle Kingdoms,75000,14.99,0,166,121,115,54,Casual
与雾雨魔理沙一起偷重要的东西 ~ Happy Stealing with Kirisame Marisa,10000,0.99,0,198,15,191,0,"Indie,RPG"
An Octave Higher,35000,11.99,0,234,47,261,205,"Adventure,Indie"
SUPER BUILD,10000,14.99,0,197,32,215,104,"Casual,Indie,Simulation,Early Access"
Future Love Space Machine : Glimmer Deck,10000,14.99,0,0,0,157,0,"Casual,Simulation"
Spiral Knights,3500000,0.0,0,18888,3617,191,92,"Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG"
The Evil Within 2,1500000,39.99,0,20269,1665,13333,730,"Action,Adventure"
Atelier Rorona ~The Alchemist of Arland~ DX,35000,39.99,0,425,33,433,1847,RPG
IL-2 Sturmovik: 1946,10000,9.99,0,1355,198,1974,0,Simulation
Bullet Witch,35000,14.99,0,321,147,413,50,Action
Cactus Simulator,10000,0.99,0,137,10,116,0,"Casual,Indie,Simulation"
3D Custom Lady Maker,35000,4.99,0,177,77,239,0,"Adventure,Simulation"
Great Toilet Simulator,10000,0.99,0,291,69,246,0,"Action,Adventure,Indie,Simulation"
Sanctum 2,3500000,14.99,0,12469,1380,7078,172,"Action,Indie,Strategy"
Refactor,150000,4.99,0,317,36,323,68,Strategy
Psychocat: The Answer,10000,0.99,0,180,43,171,0,"Action,Casual,Indie"
Wreckfest,1500000,29.99,0,26775,3988,23278,543,"Action,Indie,Racing,Simulation,Sports"
Snooker Nation Championship,35000,3.99,0,173,104,258,26,"Indie,Simulation,Sports,Strategy,Early Access"
DEAD DOZEN,35000,0.0,0,235,347,386,542,"Action,Indie,Massively Multiplayer"
Fishing Adventure,75000,4.99,0,983,159,969,44,"Indie,Simulation"
Quiplash,350000,9.99,0,1583,186,785,28,"Casual,Indie,Strategy"
Machine World 2,10000,12.99,0,98,87,177,0,"Indie,Simulation,Early Access"
Morphine,75000,0.74,0,471,171,501,248,"Adventure,Indie"
Tree Simulator 2022,10000,2.99,0,970,27,808,11,"Action,Adventure,Casual,Indie,Simulation"
Lovelorn sanatorium Ⅲ,10000,7.19,0,333,72,428,0,"Indie,RPG"
Trinity Survivors,10000,8.99,0,85,6,110,0,"Action,Indie,RPG,Early Access"
Galaxy Reavers,75000,4.99,0,130,59,155,0,"Indie,Strategy"
Zombie Exodus,10000,7.99,0,130,19,147,0,"Indie,RPG"
狼と香辛料VR/Spice&WolfVR,75000,24.99,0,950,68,856,42,"Casual,Indie"
HINGE VR,10000,19.99,0,135,47,159,189,"Action,Adventure,RPG"
Tinyfolks,35000,3.99,0,438,20,442,306,"Indie,RPG,Strategy"
the 9th day:第九日,10000,8.99,0,290,23,259,0,"Adventure,Indie"
Plug & Play,150000,2.99,0,3885,716,3713,48,"Adventure,Casual,Indie"
Holodance,10000,19.99,0,185,29,199,0,"Casual,Indie,Sports"
Workers & Resources: Soviet Republic,350000,34.99,0,10272,1070,10806,9269,"Indie,Simulation,Strategy,Early Access"
Bing Bong XL,10000,0.99,0,180,13,176,6,"Action,Casual,Indie"
Rubber Bandits,350000,7.99,0,769,206,635,243,"Action,Casual,Indie"
Disc Golf Valley,10000,4.99,0,118,17,128,315,"Casual,Simulation,Sports"
bit Dungeon+,35000,0.0,0,83,112,141,36,"Indie,RPG"
Kingsgrave,10000,8.99,0,0,0,159,0,"Action,Adventure,Indie,RPG"
SAO Utils: Beta,350000,3.99,0,2327,339,2398,1384,"Utilities,Early Access"
Coffin Dodgers,75000,10.99,0,487,219,288,205,"Action,Casual,Indie,Racing"
Darkarta: A Broken Heart's Quest Collector's Edition,35000,9.99,0,805,56,433,0,"Adventure,Casual,Indie"
Salt and Sacrifice,35000,19.99,0,258,155,398,792,"Action,RPG"
GOD EATER 3,350000,59.99,0,5942,1369,5627,505,Action
Sunlight,10000,3.99,0,114,15,108,0,"Adventure,Indie"
